TopLevel,SecondLevel,ThirdLevel,FourthLevel,FifthLevel,Keyword,StartRank,EndRank,RankChange,EndClicks,ClicksChange,SearchVolume,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023,01/2024,02/2024,03/2024,04/2024,05/2024,06/2024,07/2024,08/2024,09/2024,10/2024,11/2024,12/2024
19,,,,,covid 19 nz,,10,,135,135,7700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,17,,,,,20,,19,,,,10,,
19,,,,,covid 19,,19,,48,48,5100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,19,27,,22,,15,,8,,19,,
19,19 update,,,,covid 19 update,,28,,4,4,630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,67,,69,,73,,60,,28,,
19,19 update,,,,covid 19 update nz,,14,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,24,,39,33,,46,,27,,20,,14,,
19,19 update,,,,covid 19 update today nz live stream,,11,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,18,21,,26,,23,,14,,15,,11,,
acc,,,,,acc,,6,,519,519,18000,,,,67,,58,,42,,,42,,45,,29,,18,17,,7,,6,68,,63,9,,2,3,,3,6,,5,5,,5,,5,,5,,6,,6,
acc,,,,,what is acc,,13,,5,5,440,,,,,7,,7,,7,,5,,,36,,36,7,,6,,7,7,,8,11,,8,9,,11,14,,14,,11,22,,,,,12,12,,13,,
acc,,,,,acc meaning,,10,,4,4,240,,,,,19,,17,,,,,,,,,,,71,,,63,48,,,10,,12,,8,,,66,10,,,12,,12,,,,9,,,10,
acc,,,,,acc calculator,,5,,3,3,100,,,,,13,,14,,,,11,,,12,,10,,10,11,,12,19,,11,11,,12,,13,12,,14,12,,11,,,,,,12,,4,,5,
acc,,,,,the acc,,15,,2,2,240,,,,,,22,,27,,,20,,,,,33,,28,16,,22,,52,89,,13,11,,8,,,18,17,,16,,,,26,,29,,28,,15,
acc,,,,,acc jobs,,35,,2,2,440,,,,,25,,20,57,,,46,,,,79,,,,,75,,,77,,81,,75,22,,28,20,,24,24,,,,31,,30,,24,,23,,35
acc,,,,,acc new zealand,,14,,2,2,160,,,,,8,,13,,10,,9,,,13,,8,,9,12,,6,8,,5,11,,9,6,,16,,16,27,,11,11,,13,,12,,12,,,,14
acc,,,,,acc stands for,,9,,1,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,12,,14,,,,9,,9
acc,,,,,acc website,,12,,1,1,120,,,,,8,,4,,11,,,3,,,9,,5,9,,3,4,,6,,3,3,,7,,16,,,9,11,,13,,6,,,,8,,6,,12
acc,,,,,apply for acc,,18,,0,0,40,,9,,,11,,10,,11,,,14,,,12,,13,14,,14,12,,12,,13,14,,13,,13,,,13,,19,,,,20,,16,,14,,18,
acc,,,,,apply acc,,14,,0,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,15,19,,21,,21,,15,,5,,14,,
acc,,,,,acc registration,,19,,0,0,20,,,,,39,,36,,26,,,32,,,30,,29,17,,14,,,61,,,,,,58,33,,26,23,,,23,,23,,,19,,18,,19,
acc,,,,,acc email,,74,,0,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,47,,61,,56,,74
acc,,,,,acc forms,,83,,0,0,60,,,,,36,,45,,99,,,,,,,43,,36,27,,27,21,,30,,36,50,,89,70,,89,,,,,,,,,72,,44,,83,
acc,,,,,acc online services,,33,,0,0,20,,,,,24,,22,,27,,28,,,,26,18,,22,,16,19,,15,17,,15,,18,31,,32,,,27,,29,,22,,18,,11,,,,33
acc,,,,,self-employed acc levy,,2,,0,0,,,,,,5,,5,,4,,2,,,2,,2,,2,2,,2,,,2,2,,,,,2,,1,4,,2,3,,1,,,2,,2,,2,
acc,,,,,acc levy,,2,,0,0,,,,,,6,4,,4,,,,,,2,2,,3,,3,2,,2,1,,1,,5,4,,1,1,,1,,2,2,,1,,2,,1,,2,,2
acc,,,,,acc treatment injury payout,,33,,0,0,,,,,,,,,,,27,,,28,,38,,34,31,,22,,,25,25,,19,31,,36,,31,33,,47,79,,75,,73,,70,,39,,33,
acc,,,,,acc earners levy,,3,,0,0,,,,,,4,,3,3,,,4,,,3,,4,3,,4,,3,4,,4,4,,4,4,,4,2,,4,,4,4,,3,,4,,3,,3,,
acc,,,,,call acc,,56,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,43,,46,,39,,56,
acc,,,,,can you travel overseas while on acc,,33,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,27,,27,,34,39,,54,,,,,,41,,30,,33,
acc,,,,,jobs in acc,,55,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,35,,46,52,,58,,59,,44,,56,,55,
acc,,,,,acc levy self employed,,2,,0,0,,,5,,,4,,4,,4,,2,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,2,,
acc,,,,,my account acc,,18,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,18,,14,,18,,
acc,,,,,acc weekly compensation calculation,,25,,0,0,,,,,,,,,,,,,,,,,,11,11,,12,13,,12,,9,7,,11,8,,20,19,,25,,27,,27,,21,,21,21,,25,
acc,,,,,acc fraudsters,,37,,0,0,,,,26,,25,,,20,,12,,17,,,9,,24,9,,10,,,27,,,39,,12,,17,,,19,28,,31,,30,,19,,,,25,,37
acc,,,,,acc lump sum amounts 2023,,47,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,46,,50,,78,,69,,59,65,,51,,47,
