Keyword,EndRank,EndClicks,SearchVolume,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023,01/2024,02/2024,03/2024,04/2024,05/2024,06/2024,07/2024,08/2024,09/2024,10/2024,11/2024,12/2024,description,TF-IDF_score
covid 19 cases,13,14,1100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,13.0,,13.0,17.0,,12.0,,12.0,,30.0,,14.0,,13.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017079615751120934
covid 19 update,45,2,630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,47.0,,42.0,,53.0,,57.0,,45.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.001663217124427338
covid 19 news,39,2,480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,36.0,40.0,,40.0,,,,52.0,,63.0,,52.0,,39.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017106528339563935
covid 19 cases nz,17,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,26.0,27.0,,26.0,,30.0,,22.0,,26.0,,17.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017630579401474355
covid 19 update nz,82,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,,66.0,,,,98.0,,82.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017178270254625276
covid 19 rules nz,72,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,49.0,71.0,,,,78.0,,,,49.0,,72.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017388282350839735
sentencing act,3,37,660.0,,,,,3.0,4.0,,4.0,,,,,2.0,,2.0,,9.0,,2.0,8.0,,,6.0,,6.0,6.0,,6.0,,8.0,3.0,,7.0,4.0,,6.0,,4.0,,3.0,,3.0,,3.0,,3.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016820857596658654
privacy act,22,16,2000.0,,,,,52.0,40.0,,45.0,,,52.0,,71.0,,42.0,,39.0,,26.0,29.0,,,25.0,,26.0,35.0,,14.0,41.0,,24.0,,25.0,19.0,,28.0,,22.0,,18.0,,33.0,,28.0,,22.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016330441283967554
bail act,10,3,220.0,,,,,5.0,6.0,,5.0,,,5.0,,,2.0,2.0,,2.0,,2.0,9.0,,10.0,2.0,,2.0,,2.0,85.0,,41.0,66.0,,54.0,30.0,,,,30.0,,3.0,,3.0,,30.0,,10.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017168390823938356
corrections act,3,3,60.0,,,,,3.0,,3.0,,3.0,,3.0,,,2.0,,2.0,2.0,,2.0,,2.0,2.0,,2.0,2.0,,2.0,2.0,,2.0,3.0,,3.0,,3.0,3.0,,,,,,3.0,,3.0,,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.001869763955026944
the privacy act,27,0,80.0,,54.0,,,68.0,,49.0,,47.0,,,55.0,,,78.0,,46.0,24.0,,33.0,36.0,,23.0,28.0,,32.0,,17.0,38.0,,,,,28.0,59.0,,78.0,,44.0,,,,,,,27.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.001641927446977245
act legislation,26,0,0.0,,43.0,,,33.0,,39.0,,27.0,,,,,,,,11.0,16.0,,17.0,14.0,,26.0,,12.0,23.0,,25.0,25.0,,,,,,65.0,,49.0,,31.0,,,,,,26.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.001674946834393315
disputes tribunal act,20,0,0.0,,,,,25.0,,22.0,,23.0,,19.0,,,19.0,,17.0,18.0,,11.0,,9.0,8.0,,10.0,8.0,,9.0,7.0,,8.0,,,,,,,,,,,,,18.0,,20.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016665078106818886
