Keyword,EndRank,EndClicks,SearchVolume,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023,01/2024,02/2024,03/2024,04/2024,05/2024,06/2024,07/2024,08/2024,09/2024,10/2024,11/2024,12/2024,description,TF-IDF_score
academic,17,12,1200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,23.0,,,14.0,,18.0,,16.0,,,,17.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0019332081454098984
otago academic dates,35,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,31.0,,34.0,36.0,,49.0,46.0,,37.0,,,,39.0,,35.0,,36.0,,35.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002097956799466906
university of auckland academic calendar,79,0,0.0,,,,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,63.0,,85.0,,91.0,,,,,,80.0,,79.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002210879775376467
auckland university academic calendar,74,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,,50.0,74.0,,55.0,,84.0,,,,74.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002110047929463005
academic history vuw,66,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,,64.0,,76.0,,68.0,72.0,,66.0,,70.0,,77.0,,66.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.001976720364895599
student allowance,1,1049,6400.0,,,,1.0,,1.0,,1.0,,,1.0,,1.0,,1.0,,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002283286649450981
allowance,2,38,460.0,,1.0,,,1.0,,1.0,,1.0,,1.0,,,1.0,,1.0,1.0,,1.0,,2.0,2.0,,1.0,2.0,,1.0,1.0,,1.0,,6.0,2.0,,1.0,1.0,,1.0,,,1.0,1.0,,2.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0022569073192374015
disability allowance form,5,8,240.0,,,,,,5.0,,5.0,,,3.0,,,3.0,,3.0,,3.0,3.0,,3.0,3.0,,3.0,,3.0,9.0,,3.0,6.0,,7.0,6.0,,6.0,,,,6.0,,5.0,,5.0,,5.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0021766543019614707
how much is student allowance,1,3,20.0,,1.0,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,1.0,,,1.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0023146231485092236
disability allowance,42,3,750.0,,,,,,7.0,,5.0,,,9.0,,,6.0,,4.0,4.0,,4.0,4.0,,7.0,,6.0,4.0,,10.0,4.0,,3.0,4.0,,3.0,,4.0,6.0,,6.0,,4.0,,4.0,,42.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002121419631091772
allowances,7,0,20.0,,6.0,,,4.0,,6.0,,4.0,,4.0,,,5.0,,,5.0,,4.0,,4.0,6.0,,4.0,5.0,,4.0,5.0,,7.0,,8.0,7.0,,5.0,4.0,,4.0,,,4.0,4.0,,7.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0019332081454098984
apply for student allowance,1,0,0.0,,,,,1.0,,1.0,,1.0,,1.0,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,1.0,,1.0,,1.0,,1.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002336775650876682
travel allowance nz,52,0,0.0,,,,,13.0,,34.0,,30.0,,15.0,,,,20.0,18.0,,28.0,,25.0,26.0,,30.0,29.0,,35.0,,35.0,39.0,,35.0,,39.0,48.0,,65.0,,68.0,,37.0,,60.0,,,52.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002138649390233155
non taxable allowances nz,37,0,0.0,,20.0,,,19.0,,17.0,,23.0,,13.0,,,22.0,,18.0,,15.0,21.0,,21.0,,25.0,24.0,,26.0,25.0,,30.0,24.0,,22.0,32.0,,28.0,,,,37.0,,27.0,,37.0,,37.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0019962462897822938
disability allowance nz income threshold,1,0,0.0,,,,,,,,,,,,,,,,6.0,,10.0,9.0,,10.0,,10.0,8.0,,7.0,8.0,,6.0,,7.0,6.0,,7.0,9.0,,8.0,,8.0,,8.0,,7.0,,1.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0022721341221113313
student allowance rates,1,0,0.0,,1.0,,,1.0,,1.0,1.0,,,1.0,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,,,,,1.0,1.0,,1.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0022681026208802076
adhd disability allowance nz,6,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,8.0,,5.0,,6.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002077324446923396
