title,h1_tags,word_count,keywords,description,DC.Description,snapshot_url,Timestamp
StudyLink - StudyLink,[],296,"student, loan, allowance, costs, statistics","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.",https://web.archive.org/web/20150108132526/http://www.studylink.govt.nz:80/,8/01/2015 13:25
StudyLink - StudyLink,[],301,"student, loan, allowance, costs, statistics","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.",https://web.archive.org/web/20150113043945/http://studylink.govt.nz/,13/01/2015 4:39
StudyLink - StudyLink,[],311,"student, loan, allowance, costs, statistics","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.",https://web.archive.org/web/20150116051611/http://www.studylink.govt.nz:80/,16/01/2015 5:16
StudyLink - StudyLink,[],314,"student, loan, allowance, costs, statistics","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.",https://web.archive.org/web/20150205230209/http://studylink.govt.nz:80/,5/02/2015 23:02
StudyLink - StudyLink,[],314,"student, loan, allowance, costs, statistics","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.",https://web.archive.org/web/20150216031437/http://www.studylink.govt.nz:80/,16/02/2015 3:14
StudyLink - StudyLink,[],313,"student, loan, allowance, costs, statistics","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.",https://web.archive.org/web/20150225225130/http://www.studylink.govt.nz:80/,25/02/2015 22:51
StudyLink - StudyLink,[],356,"student, loan, allowance, costs, statistics","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.",https://web.archive.org/web/20150306140231/http://www.studylink.govt.nz:80/,6/03/2015 14:02
StudyLink - StudyLink,[],343,"student, loan, allowance, costs, statistics","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.",https://web.archive.org/web/20150321091417/http://www.studylink.govt.nz:80/,21/03/2015 9:14
StudyLink - StudyLink,[],200,"student, loan, allowance, costs, statistics","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.",https://web.archive.org/web/20150403133934/http://www.studylink.govt.nz:80/,3/04/2015 13:39
StudyLink - StudyLink,[],203,"student, loan, allowance, costs, statistics","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.",https://web.archive.org/web/20150419050222/http://studylink.govt.nz:80/,19/04/2015 5:02
StudyLink - StudyLink,[],204,"student, loan, allowance, costs, statistics","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.",https://web.archive.org/web/20150521145404/http://www.studylink.govt.nz:80/,21/05/2015 14:54
StudyLink - StudyLink,[],204,"student, loan, allowance, costs, statistics","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.",https://web.archive.org/web/20150601200348/http://www.studylink.govt.nz/,1/06/2015 20:03
StudyLink - StudyLink,[],199,"student, loan, allowance, costs, statistics","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.",https://web.archive.org/web/20150607072656/http://www.studylink.govt.nz:80/,7/06/2015 7:26
StudyLink - StudyLink,[],210,"student, loan, allowance, costs, statistics","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.",https://web.archive.org/web/20150624063417/http://www.studylink.govt.nz:80/,24/06/2015 6:34
StudyLink - StudyLink,[],214,"student, loan, allowance, costs, statistics","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.",https://web.archive.org/web/20150708134721/http://www.studylink.govt.nz/,8/07/2015 13:47
StudyLink - StudyLink,[],191,"student, loan, allowance, costs, statistics","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.",https://web.archive.org/web/20150810140954/http://www.studylink.govt.nz:80/,10/08/2015 14:09
StudyLink - StudyLink,[],206,"student, loan, allowance, costs, statistics","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.",https://web.archive.org/web/20150826000553/http://www.studylink.govt.nz:80/,26/08/2015 0:05
StudyLink - StudyLink,[],202,"student, loan, allowance, costs, statistics","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.",https://web.archive.org/web/20150930080945/http://www.studylink.govt.nz/,30/09/2015 8:09
StudyLink - StudyLink,[],209,"student, loan, allowance, costs, it's a date","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.",https://web.archive.org/web/20151015071234/http://www.studylink.govt.nz:80/,15/10/2015 7:12
StudyLink - StudyLink,[],195,"student, loan, allowance, costs, it's a date","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.",https://web.archive.org/web/20151104065843/http://www.studylink.govt.nz:80/,4/11/2015 6:58
StudyLink - StudyLink,[],241,"student, loan, allowance, costs, it's a date","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.",https://web.archive.org/web/20151127090505/http://www.studylink.govt.nz:80/,27/11/2015 9:05
StudyLink - StudyLink,[],240,"student, loan, allowance, costs, it's a date","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.",https://web.archive.org/web/20151201022113/http://www.studylink.govt.nz:80/,1/12/2015 2:21
StudyLink - StudyLink,[],239,"student, loan, allowance, costs, it's a date","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.",https://web.archive.org/web/20151213115551/http://www.studylink.govt.nz:80/,13/12/2015 11:55
StudyLink - StudyLink,[],243,"student, loan, allowance, costs, it's a date","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.",https://web.archive.org/web/20151224161804/http://www.studylink.govt.nz:80/,24/12/2015 16:18
StudyLink - StudyLink,[],227,"student, loan, allowance, costs, it's a date","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.",https://web.archive.org/web/20160110211218/http://www.studylink.govt.nz:80/,10/01/2016 21:12
StudyLink - StudyLink,[],184,"student, loan, allowance, costs, it's a date","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.",https://web.archive.org/web/20160118175625/http://www.studylink.govt.nz:80/,18/01/2016 17:56
StudyLink - StudyLink,[],194,"student, loan, allowance, costs, it's a date","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.",https://web.archive.org/web/20160130201154/http://www.studylink.govt.nz:80/?,30/01/2016 20:11
StudyLink - StudyLink,[],226,"student, loan, allowance, costs, it's a date","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.",https://web.archive.org/web/20160202035504/http://www.studylink.govt.nz:80/,2/02/2016 3:55
StudyLink - StudyLink,[],231,"student, loan, allowance, costs, it's a date","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.",https://web.archive.org/web/20160209192751/http://www.studylink.govt.nz:80/,9/02/2016 19:27
StudyLink - StudyLink,[],224,"student, loan, allowance, costs, it's a date","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.",https://web.archive.org/web/20160215175038/http://studylink.govt.nz/,15/02/2016 17:50
StudyLink - StudyLink,[],229,"student, loan, allowance, costs, it's a date","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.",https://web.archive.org/web/20160221123417/http://www.studylink.govt.nz:80/,21/02/2016 12:34
StudyLink - StudyLink,[],222,"student, loan, allowance, costs, it's a date","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.",https://web.archive.org/web/20160226163454/http://www.studylink.govt.nz:80/,26/02/2016 16:34
StudyLink - StudyLink,[],241,"student, loan, allowance, costs, it's a date","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.",https://web.archive.org/web/20160302190954/http://www.studylink.govt.nz:80/,2/03/2016 19:09
StudyLink - StudyLink,[],241,"student, loan, allowance, costs, it's a date","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.",https://web.archive.org/web/20160304095549/http://www.studylink.govt.nz/,4/03/2016 9:55
StudyLink - StudyLink,[],248,"student, loan, allowance, costs, it's a date","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.",https://web.archive.org/web/20160307122822/http://www.studylink.govt.nz:80/,7/03/2016 12:28
StudyLink - StudyLink,[],211,"student, loan, allowance, costs, it's a date","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.",https://web.archive.org/web/20160312062102/http://www.studylink.govt.nz:80/,12/03/2016 6:21
StudyLink - StudyLink,[],240,"student, loan, allowance, costs, it's a date","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.",https://web.archive.org/web/20160325211808/http://www.studylink.govt.nz:80/,25/03/2016 21:18
StudyLink - StudyLink,[],199,"student, loan, allowance, costs, it's a date","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.",https://web.archive.org/web/20160330014411/http://www.studylink.govt.nz:80/,30/03/2016 1:44
StudyLink - StudyLink,[],199,"student, loan, allowance, costs, it's a date","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.",https://web.archive.org/web/20160404015235/http://www.studylink.govt.nz:80/,4/04/2016 1:52
StudyLink - StudyLink,[],203,"student, loan, allowance, costs, it's a date","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.",https://web.archive.org/web/20160414040622/http://www.studylink.govt.nz:80/,14/04/2016 4:06
StudyLink - StudyLink,[],219,"student, loan, allowance, costs, it's a date","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.",https://web.archive.org/web/20160424175442/http://www.studylink.govt.nz:80/,24/04/2016 17:54
StudyLink - StudyLink,[],230,"student, loan, allowance, costs, it's a date","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.",https://web.archive.org/web/20160430181129/http://www.studylink.govt.nz:80/,30/04/2016 18:11
StudyLink - StudyLink,[],209,"student, loan, allowance, costs, it's a date","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.",https://web.archive.org/web/20160506015336/http://www.studylink.govt.nz:80/,6/05/2016 1:53
StudyLink - StudyLink,[],206,"student, loan, allowance, costs, it's a date","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.",https://web.archive.org/web/20160510211500/http://www.studylink.govt.nz:80/,10/05/2016 21:15
StudyLink - StudyLink,[],206,"student, loan, allowance, costs, it's a date","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.",https://web.archive.org/web/20160516230351/http://www.studylink.govt.nz:80/,16/05/2016 23:03
StudyLink - StudyLink,[],213,"student, loan, allowance, costs, it's a date","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.",https://web.archive.org/web/20160522052023/http://www.studylink.govt.nz:80/,22/05/2016 5:20
StudyLink - StudyLink,[],236,"student, loan, allowance, costs, it's a date","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.",https://web.archive.org/web/20160529025104/http://www.studylink.govt.nz:80/?,29/05/2016 2:51
StudyLink - StudyLink,[],212,"student, loan, allowance, costs, it's a date","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.",https://web.archive.org/web/20160601000951/http://www.studylink.govt.nz:80/,1/06/2016 0:09
StudyLink - StudyLink,[],231,"student, loan, allowance, costs, it's a date","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.",https://web.archive.org/web/20160611141354/http://www.studylink.govt.nz:80/,11/06/2016 14:13
StudyLink - StudyLink,[],212,"student, loan, allowance, costs, it's a date","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.",https://web.archive.org/web/20160617011953/http://www.studylink.govt.nz:80/,17/06/2016 1:19
StudyLink - StudyLink,[],203,"student, loan, allowance, costs, it's a date","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.",https://web.archive.org/web/20160622023349/http://www.studylink.govt.nz:80/,22/06/2016 2:33
StudyLink - StudyLink,[],196,"student, loan, allowance, costs, it's a date","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.","StudyLink - We connect people with the information they need to make informed decisions about student finances and other study-related issues, and provide financial support to students.",https://web.archive.org/web/20160627223352/http://www.studylink.govt.nz:80/,27/06/2016 22:33
