title,h1_tags,word_count,keywords,description,DC.Description,snapshot_url,Timestamp
Welcome to Work and Income - Work and Income,[],177,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20150103022540/http://www.workandincome.govt.nz/,3/01/2015 2:25
Welcome to Work and Income - Work and Income,[],174,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20150110090000/http://www.workandincome.govt.nz:80/,10/01/2015 9:00
Welcome to Work and Income - Work and Income,[],179,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20150113051356/http://workandincome.govt.nz/,13/01/2015 5:13
Welcome to Work and Income - Work and Income,[],179,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20150113054129/http://www.workandincome.govt.nz/,13/01/2015 5:41
Welcome to Work and Income - Work and Income,[],179,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20150121020648/http://www.workandincome.govt.nz/,21/01/2015 2:06
Welcome to Work and Income - Work and Income,[],204,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20150129153653/http://workandincome.govt.nz/,29/01/2015 15:36
Welcome to Work and Income - Work and Income,[],204,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20150205222111/http://www.workandincome.govt.nz:80/,5/02/2015 22:21
Welcome to Work and Income - Work and Income,[],186,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20150207004519/http://workandincome.govt.nz:80/,7/02/2015 0:45
Welcome to Work and Income - Work and Income,[],186,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20150207004519/http://www.workandincome.govt.nz:80/,7/02/2015 0:45
Welcome to Work and Income - Work and Income,[],174,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20150302053120/http://www.workandincome.govt.nz:80/,2/03/2015 5:31
Welcome to Work and Income - Work and Income,[],171,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20150304004908/http://www.workandincome.govt.nz/,4/03/2015 0:49
Welcome to Work and Income - Work and Income,[],163,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20150312163401/http://www.workandincome.govt.nz:80/,12/03/2015 16:34
Welcome to Work and Income - Work and Income,[],163,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20150314221023/http://workandincome.govt.nz/,14/03/2015 22:10
Welcome to Work and Income - Work and Income,[],163,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20150315004823/http://www.workandincome.govt.nz/,15/03/2015 0:48
Welcome to Work and Income - Work and Income,[],165,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20150420095325/http://www.workandincome.govt.nz:80/,20/04/2015 9:53
